Name, Region, Title, Term start, Term end, Party, Assembly, Vice(s)
Max Wladimir von Beck, Austria, Minister-President, 02/06/1906, 15/11/1908, Non-partisan technocrat, Reichsrat, 
Richard von Bienerth-Schmerling, Austria, Minister-President, 15/11/1908, 28/06/1911, Conservative, Reichsrat, 
Karl von Stürgkh, Austria, Minister-President, 03/11/1911, 21/10/1916, Conservative, Reichsrat (suspended during WWI), 
Ernst Seidler von Feuchtenegg, Austria, Minister-President, 21/10/1916, 23/06/1917, Conservative, Reichsrat, 
Maximilian Hussarek von Heinlein, Austria, Minister-President, 23/07/1918, 27/10/1918, Conservative, Reichsrat, 
Heinrich Lammasch, Austria, Minister-President, 27/10/1918, 11/11/1918, Liberal, Reichsrat, 
Karl Renner, Austria, State Chancellor, 30/10/1918, 07/07/1920, Social Democratic Workers’ Party, Provisional National Assembly, 
Karl Renner, Austria, Federal Chancellor, 27/04/1945, 20/12/1945, SPÖ (Social Democratic), Provisional / 1st National Council, —
Leopold Figl, Austria, Federal Chancellor, 20/12/1945, 02/04/1953, ÖVP (People’s Party), Post-war Legislatures, —
Julius Raab, Austria, Federal Chancellor, 02/04/1953, 11/04/1961, ÖVP, National Council Legislatures, —
Alfons Gorbach, Austria, Federal Chancellor, 11/04/1961, 02/04/1964, ÖVP, National Council Legislatures, —
Josef Klaus, Austria, Federal Chancellor, 02/04/1964, 21/04/1970, ÖVP, National Council Legislatures, —
Bruno Kreisky, Austria, Federal Chancellor, 21/04/1970, 24/05/1983, SPÖ, National Council Legislatures, Rudolf Häuser, Hannes Androsch, Fred Sinowatz (varied across terms) (wissenswertes.at)
Fred Sinowatz, Austria, Federal Chancellor, 25/05/1983, 16/06/1986, SPÖ, National Council, Norbert Steger (FPÖ) (wissenswertes.at)
Franz Vranitzky, Austria, Federal Chancellor, 16/06/1986, 28/01/1997, SPÖ, National Council, Norbert Steger, Alois Mock, Josef Riegler, Erhard Busek (varied) (wissenswertes.at)
Viktor Klima, Austria, Federal Chancellor, 28/01/1997, 04/02/2000, SPÖ, National Council, Wolfgang Schüssel (ÖVP) (wissenswertes.at)
Wolfgang Schüssel, Austria, Federal Chancellor, 04/02/2000, 11/01/2007, ÖVP, National Council, Susanne Riess-Passer (FPÖ), Herbert Haupt / Hubert Gorbach (BZÖ/FPÖ) (Wikipedia)
Alfred Gusenbauer, Austria, Federal Chancellor, 11/01/2007, 02/12/2008, SPÖ, National Council, Wilhelm Molterer (ÖVP) (Bundeskanzleramt Österreich)
Werner Faymann, Austria, Federal Chancellor, 02/12/2008, 09/05/2016, SPÖ, National Council, Michael Spindelegger, Reinhold Mitterlehner (ÖVP) variations (Bundeskanzleramt Österreich)
Christian Kern, Austria, Federal Chancellor, 17/05/2016, 18/12/2017, SPÖ, National Council, 
Sebastian Kurz, Austria, Federal Chancellor, 18/12/2017, 28/05/2019, ÖVP, National Council, Heinz-Christian Strache (FPÖ) until 2019 collapse (wissenswertes.at)
Hartwig Löger, Austria, Federal Chancellor, 28/05/2019, 03/06/2019, ÖVP, Transitional, 
Brigitte Bierlein, Austria, Federal Chancellor, 03/06/2019, 07/01/2020, Independent, Transitional, Clemens Jabloner (as lead judicial deputy equivalent) (Wikipedia)
Sebastian Kurz (2nd), Austria, Federal Chancellor, 07/01/2020, 11/10/2021, ÖVP, National Council, Werner Kogler (Greens) (Wikipedia)
Alexander Schallenberg, Austria, Federal Chancellor, 11/10/2021, 06/12/2021, ÖVP, National Council, Werner Kogler (Greens) (Wikipedia)
Karl Nehammer, Austria, Federal Chancellor, 06/12/2021, 10/01/2025, ÖVP, National Council, Werner Kogler (Greens) (Wikipedia)
Alexander Schallenberg (acting), Austria, Federal Chancellor, 10/01/2025, 03/03/2025, ÖVP, National Council, Werner Kogler / transitional coalition context (Wikipedia)
Christian Stocker, Austria, Federal Chancellor, 03/03/2025, Incumbent, ÖVP, National Council (post-2024 election coalition), Andreas Babler (SPÖ) (Wikipedia)
Itō Hirobumi (1st term), Japan, Prime Minister, 22/12/1885, 30/04/1888, Genrō / Meiji oligarchy, Imperial Diet, —
Kuroda Kiyotaka, Japan, Prime Minister, 30/04/1888, 25/10/1889, Genrō, Imperial Diet, —
Yamagata Aritomo (1st), Japan, Prime Minister, 24/12/1889, 06/05/1891, Genrō, Imperial Diet, —
Matsukata Masayoshi (1st), Japan, Prime Minister, 06/05/1891, 08/08/1892, Genrō, Imperial Diet, —
Itō Hirobumi (2nd), Japan, Prime Minister, 08/08/1892, 31/08/1896, —, Imperial Diet, —
Matsukata Masayoshi (2nd), Japan, Prime Minister, 18/09/1896, 12/01/1898, —, Imperial Diet, —
Itō Hirobumi (3rd), Japan, Prime Minister, 12/01/1898, 30/06/1898, —, Imperial Diet, —
Ōkuma Shigenobu (1st), Japan, Prime Minister, 30/06/1898, 08/11/1898, Kenseitō, Imperial Diet, —
Yamagata Aritomo (2nd), Japan, Prime Minister, 08/11/1898, 19/10/1900, —, Imperial Diet, —
Itō Hirobumi (4th), Japan, Prime Minister, 19/10/1900, 10/05/1901, Rikken Seiyūkai, Imperial Diet, —
Katsura Tarō (1st), Japan, Prime Minister, 02/06/1901, 07/01/1906, —, Imperial Diet, —
Saionji Kinmochi (1st), Japan, Prime Minister, 07/01/1906, 14/07/1908, Rikken Seiyūkai, Imperial Diet, —
Katsura Tarō (2nd), Japan, Prime Minister, 14/07/1908, 30/08/1911, —, Imperial Diet, —
Saionji Kinmochi (2nd), Japan, Prime Minister, 30/08/1911, 21/12/1912, —, Imperial Diet, —
Katsura Tarō (3rd), Japan, Prime Minister, 21/12/1912, 20/02/1913, —, Imperial Diet, —
Yamamoto Gonnohyōe (1st), Japan, Prime Minister, 20/02/1913, 16/04/1914, —, Imperial Diet, —
Ōkuma Shigenobu (2nd), Japan, Prime Minister, 16/04/1914, 09/10/1916, Rikken Dōshikai, Imperial Diet, —
Terauchi Masatake, Japan, Prime Minister, 09/10/1916, 29/09/1918, —, Imperial Diet, —
Hara Takashi, Japan, Prime Minister, 29/09/1918, 04/11/1921, Rikken Seiyūkai, Imperial Diet, —
Takahashi Korekiyo, Japan, Prime Minister, 13/11/1921, 12/06/1922, Seiyūkai, Imperial Diet, —
Katō Tomosaburō, Japan, Prime Minister, 12/06/1922, 24/08/1923, —, Imperial Diet, —
Yamamoto Gonnohyōe (2nd), Japan, Prime Minister, 02/09/1923, 07/01/1924, —, Imperial Diet, —
Kiyoura Keigo, Japan, Prime Minister, 07/01/1924, 11/06/1924, —, Imperial Diet, —
Katō Takaaki, Japan, Prime Minister, 11/06/1924, 28/01/1926, Kenseikai, Imperial Diet, —
Wakatsuki Reijirō (1st), Japan, Prime Minister, 30/01/1926, 20/04/1927, Minseitō, Imperial Diet, —
Tanaka Giichi, Japan, Prime Minister, 20/04/1927, 02/07/1929, Seiyūkai, Imperial Diet, —
Hamaguchi Osachi, Japan, Prime Minister, 02/07/1929, 14/04/1931, Minseitō, Imperial Diet, —
Wakatsuki Reijirō (2nd), Japan, Prime Minister, 14/04/1931, 13/12/1931, Minseitō, Imperial Diet, —
Inukai Tsuyoshi, Japan, Prime Minister, 13/12/1931, 15/05/1932, Seiyūkai, Imperial Diet, —
Saitō Makoto, Japan, Prime Minister, 26/05/1932, 08/07/1934, —, Imperial Diet, —
Okada Keisuke, Japan, Prime Minister, 08/07/1934, 09/03/1936, —, Imperial Diet, —
Hirota Kōki, Japan, Prime Minister, 09/03/1936, 02/02/1937, —, Imperial Diet, —
Hayashi Senjūrō, Japan, Prime Minister, 02/02/1937, 04/06/1937, —, Imperial Diet, —
Konoe Fumimaro (1st), Japan, Prime Minister, 04/06/1937, 05/01/1939, —, Imperial Diet, —
Hiranuma Kiichirō, Japan, Prime Minister, 05/01/1939, 30/08/1939, —, Imperial Diet, —
Abe Nobuyuki, Japan, Prime Minister, 30/08/1939, 16/01/1940, —, Imperial Diet, —
Yonai Mitsumasa, Japan, Prime Minister, 16/01/1940, 22/07/1940, —, Imperial Diet, —
Konoe Fumimaro (2nd), Japan, Prime Minister, 22/07/1940, 18/07/1941, —, Imperial Diet, —
Konoe Fumimaro (3rd), Japan, Prime Minister, 18/07/1941, 18/10/1941, —, Imperial Diet, —
Tōjō Hideki, Japan, Prime Minister, 18/10/1941, 22/07/1944, —, Imperial Diet, —
Koiso Kuniaki, Japan, Prime Minister, 22/07/1944, 07/04/1945, —, Imperial Diet, —
Suzuki Kantarō, Japan, Prime Minister, 07/04/1945, 17/08/1945, —, Imperial Diet, —
Higashikuni Naruhiko, Japan, Prime Minister, 17/08/1945, 09/10/1945, —, Imperial Diet, —
Shidehara Kijūrō, Japan, Prime Minister, 09/10/1945, 22/05/1946, —, Imperial Diet, —
Yoshida Shigeru (multiple terms), Japan, Prime Minister, 22/05/1946, 10/12/1954, Liberal Party, National Diet, —
Hatoyama Ichirō, Japan, Prime Minister, 10/12/1954, 23/12/1956, LDP, National Diet, —
Ishibashi Tanzan, Japan, Prime Minister, 23/12/1956, 25/02/1957, LDP, National Diet, —
Kishi Nobusuke, Japan, Prime Minister, 25/02/1957, 19/07/1960, LDP, National Diet, —
Ikeda Hayato, Japan, Prime Minister, 19/07/1960, 09/11/1964, LDP, National Diet, —
Satō Eisaku, Japan, Prime Minister, 09/11/1964, 07/07/1972, LDP, National Diet, —
Tanaka Kakuei, Japan, Prime Minister, 07/07/1972, 09/12/1974, LDP, National Diet, —
Miki Takeo, Japan, Prime Minister, 09/12/1974, 24/12/1976, LDP, National Diet, —
Fukuda Takeo, Japan, Prime Minister, 24/12/1976, 07/12/1978, LDP, National Diet, —
Ōhira Masayoshi, Japan, Prime Minister, 07/12/1978, 12/06/1980, LDP, National Diet, —
Suzuki Zenkō, Japan, Prime Minister, 17/07/1980, 27/11/1982, LDP, National Diet, —
Nakasone Yasuhiro, Japan, Prime Minister, 27/11/1982, 06/11/1987, LDP, National Diet, —
Takeshita Noboru, Japan, Prime Minister, 06/11/1987, 03/06/1989, LDP, National Diet, —
Uno Sōsuke, Japan, Prime Minister, 03/06/1989, 10/08/1989, LDP, National Diet, —
Kaifu Toshiki, Japan, Prime Minister, 10/08/1989, 05/11/1991, LDP, National Diet, —
Miyazawa Kiichi, Japan, Prime Minister, 05/11/1991, 09/08/1993, LDP, National Diet, —
Hosokawa Morihiro, Japan, Prime Minister, 09/08/1993, 28/04/1994, Japan New Party, National Diet, —
Hata Tsutomu, Japan, Prime Minister, 28/04/1994, 30/06/1994, Renewal Party, National Diet, —
Murayama Tomiichi, Japan, Prime Minister, 30/06/1994, 11/01/1996, JSP, National Diet, —
Hashimoto Ryūtarō, Japan, Prime Minister, 11/01/1996, 30/07/1998, LDP, National Diet, —
Obuchi Keizō, Japan, Prime Minister, 30/07/1998, 05/04/2000, LDP, National Diet, —
Mori Yoshirō, Japan, Prime Minister, 05/04/2000, 26/04/2001, LDP, National Diet, —
Koizumi Junichirō, Japan, Prime Minister, 26/04/2001, 26/09/2006, LDP, National Diet, —
Abe Shinzō (1st), Japan, Prime Minister, 26/09/2006, 26/09/2007, LDP, National Diet, —
Fukuda Yasuo, Japan, Prime Minister, 26/09/2007, 24/09/2008, LDP, National Diet, —
Asō Tarō, Japan, Prime Minister, 24/09/2008, 16/09/2009, LDP, National Diet, —
Hatoyama Yukio, Japan, Prime Minister, 16/09/2009, 08/06/2010, DPJ, National Diet, —
Kan Naoto, Japan, Prime Minister, 08/06/2010, 02/09/2011, DPJ, National Diet, —
Noda Yoshihiko, Japan, Prime Minister, 02/09/2011, 26/12/2012, DPJ, National Diet, —
Abe Shinzō (2nd), Japan, Prime Minister, 26/12/2012, 16/09/2020, LDP, National Diet, Tarō Asō
Suga Yoshihide, Japan, Prime Minister, 16/09/2020, 04/10/2021, LDP, National Diet, Tarō Asō
Kishida Fumio, Japan, Prime Minister, 04/10/2021, 01/10/2024, LDP, National Diet, —
Ishiba Shigeru, Japan, Prime Minister, 01/10/2024, 21/10/2025, LDP, National Diet, —
Sanae Takaichi, Japan, Prime Minister, 21/10/2025, Incumbent, LDP, National Diet, —
Christian Magnus Falsen, Norway, Prime Minister, 02/03/1814, 22/03/1814, —, Storting, —
Peder Anker, Norway, Prime Minister, 04/11/1814, 01/07/1822, —, Storting, —
Frederik Stang, Norway, Prime Minister, 21/07/1873, 11/06/1880, Conservative, Storting, —
Johan Sverdrup, Norway, Prime Minister, 26/06/1884, 12/07/1889, Liberal, Storting, —
Christian Michelsen, Norway, Prime Minister, 11/03/1905, 23/10/1907, Liberal, Storting, —
Gunnar Knudsen, Norway, Prime Minister, 19/03/1908, 02/02/1910, Liberal, Storting, —
Otto Bahr Halvorsen, Norway, Prime Minister, 31/01/1920, 21/06/1921, Conservative, Storting, —
Johan Nygaardsvold, Norway, Prime Minister, 20/03/1935, 25/06/1945, Labour, Storting, —
Einar Gerhardsen, Norway, Prime Minister, 25/06/1945, 09/11/1951, Labour, Storting, —
